Müşteri Şikayeti, Kategori, Alt Kategori
"Telefon değişikliği sebebiyle mobil bankalcılıgs giriş yapamıyorum defalarca uygulamayı silip yükledim eski telefonum xs max yeni telefonum 12 pro max giriş ekranını görüntüleyemiyorum, yardımlarınızı arz ederim", Dijital Bankacılık, MobilDeniz
"Yeni telefonuma geçiş yaptım fakat mobil bankacılığa giriş yapamıyorum. Uygulamayı defalarca silip yükledim ama sorun çözülmedi. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında para transferi yaparken işlem tamamlanmadan uygulama kapanıyor. Sorunun çözülmesini rica ediyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık şifremi unuttum nasıl sıfırlayabilirim?", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada hesap hareketlerimi göremiyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılıkta kredi kartı borcumu ödeyemiyorum. Sürekli hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulaması çok yavaş çalışıyor. Lütfen hızlandırın.", Dijital Bankacılık, MobilDeniz
"Uygulamadan çıkış yapmadan geri dönemiyorum. Sorunu çözebilir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada fatura ödeme işlemi sırasında hata alıyorum. Yardım eder misiniz?", Dijital Bankacılık, MobilDeniz
"Yeni bir telefon aldım ama uygulama doğrulama kodu göndermiyor.", Dijital Bankacılık, MobilDeniz
"Mobil uygulama şifremi unuttum ve sıfırlayamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Uygulama güncellemesinden sonra hesap bilgilerime ulaşamıyorum.", Dijital Bankacılık, MobilDeniz
"Uygulama sürekli kapanıyor, işlemlerimi tamamlayamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık üzerinden kredi kartı ekstresini görüntüleyemiyorum.", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada döviz işlemi yaparken hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Uygulamadan kredi başvurusu yapmak istiyorum ama sürekli hata veriyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılıkta hesap hareketleri güncellenmiyor.", Dijital Bankacılık, MobilDeniz
"Yeni telefonumda uygulamayı kullanamıyorum, doğrulama kodu gelmiyor.", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada ödeme yaparken işlem tamamlanmıyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık şifremi sıfırlamak istiyorum ama hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Uygulamadan kredi kartı limitimi artırmak istiyorum ama işlem yapamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada QR kod ile para çekme işlemi başarısız oluyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık üzerinden vadeli hesap açamıyorum.", Dijital Bankacılık, MobilDeniz
"Uygulama güncellemesinden sonra giriş yapamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık üzerinden yatırım hesabı açmak istiyorum ama hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil uygulamada hesaplar arası para transferi yapamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında bakiye sorgulaması yaparken hata alıyorum. Lütfen yardımcı olun.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasından hızlı para transferi yapmak istiyorum ama işlem gerçekleşmiyor. Sorunu çözebilir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında kayıtlı alıcılarıma para gönderemiyorum. Sürekli hata mesajı alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında kredi kartı limit artırma talebim başarısız oluyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında EFT işlemi gerçekleştiremiyorum. Uygulama sürekli kapanıyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında fatura ödeme işlemi sırasında onay kodu gelmiyor. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasına giriş yaptıktan sonra hesabımdan aniden çıkış yapılıyor. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında kredi başvurusu yapmak istiyorum ama sürekli hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında hesap hareketlerini göremiyorum. Bilgilendirir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında yeni bir hesap açmak istiyorum ama işlem başarısız oluyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında QR kod ile ödeme yapmak istiyorum fakat kodu okutamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında şifre değişikliği yapmak istiyorum ama onay mesajı gelmiyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında yatırım hesabımı görüntüleyemiyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında otomatik ödeme talimatı vermek istiyorum ama işlem tamamlanmıyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında hesap ekstresini görüntülemekte sorun yaşıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında döviz hesabımdan para çekemiyorum. Yardım eder misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında işlem geçmişimi göremiyorum. Sürekli hata veriyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında otomatik ödeme talimatı vermek istiyorum fakat işlemi tamamlayamıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında havale işlemi yaparken onay mesajı gelmiyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında şifre hatırlatma talebim başarısız oluyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında yeni hesap açma işlemi sırasında adres doğrulama hatası alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında kart bilgilerimi güncelleyemiyorum. Yardımcı olur musunuz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında vadeli mevduat hesabı açamıyorum. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında hesap ekstresi indiremiyorum. Sürekli hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında başka bankaya ait kredi kartı borcumu ödeyemiyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında altın hesabımdan altın alımı yapamıyorum. Yardımcı olur musunuz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında yeni bir alıcı eklerken hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında işlem yaparken uygulama donuyor. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında sık kullanılanlar listemi düzenleyemiyorum. Yardım eder misiniz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında yeni şifre belirlerken doğrulama kodu gelmiyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında işlem yaparken uygulama aniden kapanıyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında cep telefonu numaramı güncelleyemiyorum. Yardımcı olur musunuz?", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında şüpheli işlem bildirimi yapmak istiyorum ama hata alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında kredi kartı ekstresini görüntüleyemiyorum. Sürekli hata veriyor.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında hızlı para gönderme işlemi sırasında sorun yaşıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil bankacılık uygulamasında fatura ödeme sırasında işlem tamamlanmıyor.", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasına giriş yaparken sürekli 'bağlantı hatası' alıyorum. İnternet bağlantımda bir sorun yok. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında fatura ödemesi yaparken 'hata oluştu' mesajı alıyorum. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında hesaplar arası para transferi yapamıyorum. 'Yetkiniz yoktur' mesajı alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında döviz alım satımı yaparken hata alıyorum. Sorunun çözülmesini istiyorum.", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında kredi başvurusunda bulunamıyorum. Sürekli hata alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında kredi kartı ekstresini görüntüleyemiyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında hesap açma işlemi yaparken hata alıyorum. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"MobilDeniz üzerinden yatırım fonu alımı yapamıyorum. Sürekli hata mesajı alıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'de döviz kurları güncellenmiyor. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında otomatik ödeme talimatı vermek istiyorum ama işlem başarısız oluyor. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Yeni telefon aldım ve MobilDeniz uygulamasını yükledim ama giriş yapamıyorum. Bir türlü doğrulama mesajını alamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında sık sık oturumum kapanıyor ve tekrar giriş yapmak zorunda kalıyorum. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'den kredi başvurusu yapmak istiyorum ama sürekli hata veriyor. Ne yapmam gerekiyor?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'de hesap bakiyemi kontrol ederken sürekli 'bağlantı hatası' alıyorum. İnternet bağlantımda sorun yok. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında QR kod ile ödeme yaparken 'hata oluştu' mesajı alıyorum. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında kredi kartı ekstresi e-posta ile gelmiyor. Bu sorunu nasıl çözebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'de yatırım hesap hareketlerimi görmek istiyorum ama ekran boş görünüyor. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'den öğrenci kredisi başvurusu yapmaya çalışıyorum, sürekli hata alıyorum. Ne yapmalıyım?", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulaması sürekli kapanıyor ve yeniden başlatmam gerekiyor. Bu sorunu nasıl düzeltebilirim?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'de banka kartımı mobil ödeme için tanımlayamıyorum. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Telefon değişikliği sebebiyle mobil bankacılığa giriş yapamıyorum. Yardımlarınızı arz ederim.", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasına giriş yapamıyorum. Şifremi doğru giriyorum ancak sürekli hata alıyorum. Yardımcı olur musunuz?", Dijital Bankacılık, MobilDeniz
"MobilDeniz'de QR kod ile giriş yapamıyorum. Ekranda sürekli 'hata oluştu' mesajı çıkıyor. Yardımlarınızı bekliyorum.", Dijital Bankacılık, MobilDeniz
"MobilDeniz uygulamasında kredi kartı borç ödemesi yapamıyorum. Sürekli 'hata oluştu' mesajı çıkıyor. Yardımcı olabilir misiniz?", Dijital Bankacılık, MobilDeniz
"Yurt dışında yaşıyorum ve mobil bankacılığımı kullanamıyorum. Her şey doğru olmasına rağmen 'İşleminizi gerçekleştiremiyoruz, daha sonra tekrar deneyin.' yazısı çıkıyor.", Dijital Bankacılık, MobilDeniz
"Mobil denize giremiyorum. Güvenlik nedeniyle erişiminiz engellenmiştir diye uyarı alıyorum.", Dijital Bankacılık, MobilDeniz
"Mobil internet bankacılığına giriş yapamıyorum. Güvenlik sebebiyle kapatıldığını ve herhangi bir şubeye gitmem gerektiği uyarısı alıyorum. Sebep nedir bilmek istiyorum.", Dijital Bankacılık, MobilDeniz
"Kredi kartımı iptal etmek istiyorum. Mobil bankacılığınıza gönderilen kodu onaylayınız diyor ama herhangi bir kod gelmiyor.", Dijital Bankacılık, MobilDeniz
"Güncellemeden sonra mobil bankacılığıma 2 haftadır giremiyorum.", Dijital Bankacılık, MobilDeniz
"Telefon değişikliği sebebiyle mobil bankalcılıgs giriş yapamıyorum defalarca uygulamayı silip yükledim eski telefonum xs max yeni telefonum 12 pro max giriş ekranını görüntüleyemiyorum yardımlarınızı arz ederim", Dijital Bankacılık, MobilDeniz
"merhaba musterımızın atm de parası kalmıstır ıadesını ister sy", Dijital Bankacılık, ATM
